product_id,category,product_name,product_type,image_url,barcode,price_jd,stock_quantity,minimum_stock,health_tags,supplier_id
24,Frozen foods,Sahtain Chicken Breast Tender 900 g,Poultry,/images/products/Sahtain Chicken Breast Tender 900 g.jpg,2000000000024,4,46,15,"meat,not_vegan",Frozen Food Hub
25,Frozen foods,Tip Top Spicy Chicken Fillet 900 g,Poultry,/images/products/Tip Top Spicy Chicken Fillet 900 g.jpg,2000000000025,3.99,13,15,"meat,not_vegan",Frozen Food Hub
26,Frozen foods,Tip Top Breaded Chicken Burger 750 g 10 pcs,Burger,/images/products/Tip Top Breaded Chicken Burger 750 g 10 pcs.jpg,2000000000026,3.1,26,15,"gluten,high_sodium,meat,not_vegan",Frozen Food Hub
27,Frozen foods,Tip Top Beef Burger 900 g 20 pcs,Burger,/images/products/Tip Top Beef Burger 900 g 20 pcs.jpg,2000000000027,3.8,39,15,"high_sodium,meat,not_vegan",Frozen Food Hub
28,Frozen foods,Tip Top Crispy Chicken Nuggets 900 g,Poultry,/images/products/Tip Top Crispy Chicken Nuggets 900 g.jpg,2000000000028,3.4,52,15,"high_sodium,meat,not_vegan",Frozen Food Hub
29,Frozen foods,Wadi Scallop Chicken 24 pcs 1.44 kg,Poultry,/images/products/Wadi Scallop Chicken 24 pcs 1.44 kg.jpg,2000000000029,5.5,19,15,"meat,not_vegan",Frozen Food Hub
30,Frozen foods,"Limaz Breaded Chicken Nuggets, 800g",Poultry,"/images/products/Limaz Breaded Chicken Nuggets, 800g.jpg",2000000000030,3.35,32,15,"gluten,high_sodium,meat,not_vegan",Frozen Food Hub
31,Frozen foods,"Limaz Breaded Chicken Strips, 800g",Poultry,"/images/products/Limaz Breaded Chicken Strips, 800g.jpg",2000000000031,4.65,45,15,"gluten,meat,not_vegan",Frozen Food Hub
32,Frozen foods,"Nabil Jalapeno Chicken Chunks, 750g",Poultry,"/images/products/Nabil Jalapeno Chicken Chunks, 750g.jpg",2000000000032,5.35,12,15,"meat,not_vegan",Frozen Food Hub
33,Frozen foods,Nabil Special Chicken Patty 540 g,Burger,/images/products/Nabil Special Chicken Patty 540 g.jpg,2000000000033,5.15,25,15,"high_sodium,meat,not_vegan",Frozen Food Hub
34,Frozen foods,Nabil Giant Chicken Burger 600 g,Burger,/images/products/Nabil Giant Chicken Burger 600 g.jpg,2000000000034,4.09,38,15,"high_sodium,meat,not_vegan",Frozen Food Hub
35,Frozen foods,"Halwanji Balah Alsham Frozen Dessert, 500g",Bakery & Desserts,"/images/products/Halwanji Balah Alsham Frozen Dessert, 500g.jpg",2000000000035,1.95,51,15,"high_sugar,vegan",Frozen Food Hub
36,Frozen foods,"Halwanji Asabie Zaynab Frozen Dessert, 500g",Bakery & Desserts,"/images/products/Halwanji Asabie Zaynab Frozen Dessert, 500g.jpg",2000000000036,1.5,18,15,"high_sugar,vegan",Frozen Food Hub
37,Frozen foods,"Halwanji Frozen Rough Kunafa, 250g",Bakery & Desserts,"/images/products/Halwanji Frozen Rough Kunafa, 250g.jpg",2000000000037,2,31,15,"high_sugar,vegan",Frozen Food Hub
38,Frozen foods,"Saudia Lemon & Mint Ice Cream Stick, 80ml",Ice Cream,"/images/products/Saudia Lemon & Mint Ice Cream Stick, 80ml.jpg",2000000000038,0.55,44,15,"dairy,not_vegan",Frozen Food Hub
39,Frozen foods,Jordina Maximo Ice Cream 92 g,Ice Cream,/images/products/Jordina Maximo Ice Cream 92 g.jpg,2000000000039,0.65,11,15,"dairy,not_vegan",Frozen Food Hub
40,Frozen foods,"Jordina Aria No added Suger Ice Cream, 1 Piece",Ice Cream,"/images/products/Jordina Aria No added Suger Ice Cream, 1 Piece.jpg",2000000000040,0.65,24,15,"dairy,not_vegan",Frozen Food Hub
41,Frozen foods,"Jordina Sugar Free Vanilla Ice Cream, 65g",Ice Cream,"/images/products/Jordina Sugar Free Vanilla Ice Cream, 65g.jpg",2000000000041,0.5,37,15,"sugar_free,dairy,not_vegan",Frozen Food Hub
42,Frozen foods,"Bravo Junior Tria Pistachio-Almond Ice Cream, 6x60ml",Ice Cream,"/images/products/Bravo Junior Tria Pistachio-Almond Ice Cream, 6x60ml.jpg",2000000000042,4.95,50,15,"tree_nuts,dairy,not_vegan",Frozen Food Hub
43,Frozen foods,Siniora Chicken Jumbo Burger 1 kg,Burger,/images/products/Siniora Chicken Jumbo Burger 1 kg.jpg,2000000000043,4.25,17,15,"high_sodium,meat,not_vegan",Frozen Food Hub
44,dairy & eggs,"Almarai Labneh, 500g",labneh,/images/products/Almarai-Labneh-500g.jpg,2000000000044,2.21,30,12,"dairy,not_vegan,egg",Jordan Dairy Co.
45,dairy & eggs,"Al Youm Labneh, 200g",labneh,/images/products/Al-Youm-Labneh-200g.jpg,2000000000045,1.25,43,12,"dairy,not_vegan,egg",Jordan Dairy Co.
46,dairy & eggs,"Teeba 9% Fat Labneh, 500g",labneh,/images/products/Teeba-9%Fat-Labneh-500g.jpg,2000000000046,2.25,10,12,"dairy,not_vegan,egg",Jordan Dairy Co.
47,dairy & eggs,"Teeba Labneh, 180g",labneh,/images/products/Teeba-Labneh-180g.jpg,2000000000047,1,23,12,"dairy,not_vegan,egg",Jordan Dairy Co.
48,dairy & eggs,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",milk,/images/products/Almarai-Uht-Full-Fat-Milk-with-Vitamins-4x1L.jpg,2000000000048,3.77,36,12,"dairy,not_vegan,egg",Jordan Dairy Co.
49,dairy & eggs,Al Youm 3% Milk Full Fat 1 L,milk,/images/products/Al-Youm3%-Milk-Full-Fat1L.jpg,2000000000049,1.5,49,12,"dairy,not_vegan,egg",Jordan Dairy Co.
50,dairy & eggs,Baladna Full Cream Milk 1 L,milk,/images/products/Baladna-Full-Cream-Milk-1L.jpg,2000000000050,1.03,16,12,"dairy,not_vegan,egg",Jordan Dairy Co.
51,dairy & eggs,"Hammoudeh Lactose Free Full Fat UHT Milk, 1L",milk,/images/products/Hammoudeh-Lactose-Free-Full-Fat-UHT-Milk-1L.jpg,2000000000051,1.5,29,12,"dairy,not_vegan,egg",Jordan Dairy Co.
52,dairy & eggs,"Almarai Full Fat Fresh Yoghurt, 700g",youghurt,/images/products/Almarai-Full-Fat-Fresh-Yoghurt-700g.jpg,2000000000052,1,42,12,"dairy,not_vegan,egg",Jordan Dairy Co.
53,dairy & eggs,"Alyoum Yoghurt, 1kg",youghurt,/images/products/Alyoum-Yoghurt-1kg.jpg,2000000000053,1.27,55,12,"dairy,not_vegan,egg",Jordan Dairy Co.
54,dairy & eggs,"Teeba Yoghurt, 700g",youghurt,/images/products/Teeba-Yoghurt-700g.jpg,2000000000054,1,22,12,"dairy,not_vegan,egg",Jordan Dairy Co.
55,dairy & eggs,"Hammoudeh Fresh Yoghurt, 700g",youghurt,/images/products/Hammoudeh-Fresh-Yoghurt-700g.jpg,2000000000055,1,35,12,"dairy,not_vegan,egg",Jordan Dairy Co.
56,dairy & eggs,"Almarai Cream Cheese, 6 Portion, 108g",cheese,/images/products/Almarai-Cream-Cheese-6Portion-108g.jpg,2000000000056,1.02,48,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
57,dairy & eggs,"Ovalyo Eggs White XLarge, 30 Pieces",eggs,/images/products/Ovalyo-Eggs-White-XLarge-30Pieces.jpg,2000000000057,3.25,15,12,"egg,not_vegan",Jordan Dairy Co.
58,dairy & eggs,Ovalyo Eggs Brown XL 30 pcs,eggs,/images/products/Ovalyo-Eggs-White-XLarge-30Pieces.jpg,2000000000058,3.22,28,12,"egg,not_vegan",Jordan Dairy Co.
59,dairy & eggs,"Ovalyo White XL Eggs, 6pcs",eggs,/images/products/Ovalyo-White-XL-Eggs-6pcs.jpg,2000000000059,0.95,41,12,"egg,not_vegan",Jordan Dairy Co.
60,dairy & eggs,"Free Field Farms White Eggs, 15 Pieces",eggs,/images/products/Free-Field-Farms-White-Eggs-15Pieces.jpg,2000000000060,4.25,54,12,"egg,not_vegan",Jordan Dairy Co.
61,dairy & eggs,"Almarai Natural Unsalted Butter, 100g",butter,/images/products/Almarai-Natural-Unsalted-Butter-100g.jpg,2000000000061,0.99,21,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
62,dairy & eggs,"Lurpak Unsalted Butter, 100g",butter,/images/products/Lurpak-Unsalted-Butter-100g.jpg,2000000000062,1.13,34,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
63,dairy & eggs,"Lurpak Unsalted Butter, 6x50g",butter,/images/products/Lurpak-Unsalted-Butter-100g.jpg,2000000000063,4.23,47,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
64,dairy & eggs,"Almarai Unsalted Natural Butter, 200g",butter,/images/products/Almarai-Unsalted-Natural-Butter-200g.jpg,2000000000064,2.05,14,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
65,dairy & eggs,"KDD Thick Cream, 4x125ml",cream,/images/products/KDD-Thick-Cream-4x125ml.jpg,2000000000065,1.72,27,12,"dairy,not_vegan,egg",Jordan Dairy Co.
66,dairy & eggs,"Almarai Cooking Cream, 500ml",cream,/images/products/Almarai-Cooking-Cream-500ml.jpg,2000000000066,2.65,40,12,"dairy,not_vegan,egg",Jordan Dairy Co.
67,dairy & eggs,"Five Cows Thick Cream, 4x125ml",cream,/images/products/Five-Cows-Thick-Cream-4x125ml.jpg,2000000000067,1.75,53,12,"dairy,not_vegan,egg",Jordan Dairy Co.
68,dairy & eggs,"Al Safi UHT Full Fat Milk, 4x1L",Long Life Milk,"/images/products/Al Safi UHT Full Fat Milk, 4x1L.jpg",2000000000068,3.85,20,12,"dairy,not_vegan,egg",Jordan Dairy Co.
69,dairy & eggs,"Nadec Long Life Full Fat UHT Milk, 4x1L",Long Life Milk,"/images/products/Nadec Long Life Full Fat UHT Milk, 4x1L.jpg",2000000000069,3.35,33,12,"dairy,not_vegan,egg",Jordan Dairy Co.
70,dairy & eggs,"Koita Lactose Free Skim Milk, 1L",Long Life Milk,"/images/products/Koita Lactose Free Skim Milk, 1L.jpg",2000000000070,3.1,46,12,"dairy,not_vegan,egg",Jordan Dairy Co.
71,dairy & eggs,"Koita Low Fat Lactose Free Non Harmone Milk, 1L",Long Life Milk,"/images/products/Koita Low Fat Lactose Free Non Harmone Milk, 1L.jpg",2000000000071,2.9,13,12,"dairy,not_vegan,egg",Jordan Dairy Co.
72,dairy & eggs,"Koita UHT Lactose Free Whole Fat Milk, 1L",Long Life Milk,"/images/products/Koita UHT Lactose Free Whole Fat Milk, 1L.jpg",2000000000072,3.09,26,12,"dairy,not_vegan,egg",Jordan Dairy Co.
73,dairy & eggs,"Koita Organic Whole Cream Milk, 1L",Long Life Milk,"/images/products/Koita Organic Whole Cream Milk, 1L.jpg",2000000000073,3.1,39,12,"dairy,not_vegan,egg",Jordan Dairy Co.
74,dairy & eggs,Koita Organic Chocolate Milk Uht 200 ml,Long Life Milk,/images/products/Koita Organic Chocolate Milk Uht 200 ml.jpg,2000000000074,1.65,52,20,"high_sugar,dairy,not_vegan,egg",Jordan Dairy Co.
75,dairy & eggs,"KDD Strawberry Flavored Milk, 6x250ml",Long Life Milk,"/images/products/KDD Strawberry Flavored Milk, 6x250ml.jpg",2000000000075,2.25,19,12,"dairy,not_vegan,egg",Jordan Dairy Co.
76,dairy & eggs,"Nadec Banana Flavor Milk, 6x125ml",Long Life Milk,"/images/products/Nadec Banana Flavor Milk, 6x125ml.jpg",2000000000076,1.35,32,12,"dairy,not_vegan,egg",Jordan Dairy Co.
77,dairy & eggs,"Nadec Milk Chocolate Milk, 6x125ml",Long Life Milk,"/images/products/Nadec Milk Chocolate Milk, 6x125ml.jpg",2000000000077,1.35,45,20,"high_sugar,dairy,not_vegan,egg",Jordan Dairy Co.
78,dairy & eggs,"Nadec Full Fat Fresh Milk, 6x125ml",Long Life Milk,"/images/products/Nadec Full Fat Fresh Milk, 6x125ml.jpg",2000000000078,1.13,12,12,"dairy,not_vegan,egg",Jordan Dairy Co.
79,dairy & eggs,"The Bridge Bio Organic Pure Coconut Drink, 1L",Milk Alternatives,"/images/products/The Bridge Bio Organic Pure Coconut Drink, 1L.jpg",2000000000079,4.2,25,20,"tree_nuts,dairy,not_vegan,egg",Jordan Dairy Co.
80,dairy & eggs,"The Bridge Bio Organic Almond Sugar Free Drink, 1L",Milk Alternatives,"/images/products/The Bridge Bio Organic Almond Sugar Free Drink, 1L.jpg",2000000000080,4.2,38,20,"sugar_free,tree_nuts,dairy,not_vegan,egg",Jordan Dairy Co.
81,dairy & eggs,"Koita Organic Almond Milk, 1L",Milk Alternatives,"/images/products/Koita Organic Almond Milk, 1L.jpg",2000000000081,3.7,51,12,"tree_nuts,dairy,not_vegan,egg",Jordan Dairy Co.
82,dairy & eggs,"Koita UHT Coconut Milk - No Added Sugar, 1L",Milk Alternatives,"/images/products/Koita UHT Coconut Milk - No Added Sugar, 1L.jpg",2000000000082,3.7,18,12,"sugar_free,tree_nuts,dairy,not_vegan,egg",Jordan Dairy Co.
83,dairy & eggs,"Alinor Organic Plant Based Almond Barista Drink, 1L",Milk Alternatives,"/images/products/Alinor Organic Plant Based Almond Barista Drink, 1L.jpg",2000000000083,3.5,31,20,"tree_nuts,dairy,not_vegan,egg",Jordan Dairy Co.
84,dairy & eggs,"Orasi Soy Milk Sugar Free, 1L",Milk Alternatives,"/images/products/Orasi Soy Milk Sugar Free, 1L.jpg",2000000000084,2.5,44,12,"sugar_free,dairy,not_vegan,egg",Jordan Dairy Co.
85,dairy & eggs,"Alpro Plant-Based Barista Soya Drink, 1L",Milk Alternatives,"/images/products/Alpro Plant-Based Barista Soya Drink, 1L.jpg",2000000000085,2.8,11,20,"dairy,not_vegan,egg",Jordan Dairy Co.
86,dairy & eggs,"Pascual Vive Soy High Calcium Soy Drink, 1L",Milk Alternatives,"/images/products/Pascual Vive Soy High Calcium Soy Drink, 1L.jpg",2000000000086,3.5,24,20,"dairy,not_vegan,egg",Jordan Dairy Co.
87,dairy & eggs,"Pascual Vive Soy High Calcium Oat Drink, 1L",Milk Alternatives,"/images/products/Pascual Vive Soy High Calcium Oat Drink, 1L.jpg",2000000000087,3.5,37,20,"dairy,not_vegan,egg",Jordan Dairy Co.
88,dairy & eggs,"Almarai Greek Style Mango Yoghurt, 150g",Yoghurts,"/images/products/Almarai Greek Style Mango Yoghurt, 150g.jpg",2000000000088,0.9,50,12,"dairy,not_vegan,egg",Jordan Dairy Co.
89,dairy & eggs,"Almarai Greek Style Full Fat Strawberry Yoghurt, 150g",Yoghurts,"/images/products/Almarai Greek Style Full Fat Strawberry Yoghurt, 150g.jpg",2000000000089,0.9,17,12,"dairy,not_vegan,egg",Jordan Dairy Co.
90,dairy & eggs,"Almarai Greek Style Full Fat Blueberry Yoghurt, 150g",Yoghurts,"/images/products/Almarai Greek Style Full Fat Blueberry Yoghurt, 150g.jpg",2000000000090,0.9,30,12,"dairy,not_vegan,egg",Jordan Dairy Co.
91,dairy & eggs,"AlSafi Mixed Berries Greek Yoghurt, 150g",Yoghurts,"/images/products/AlSafi Mixed Berries Greek Yoghurt, 150g.jpg",2000000000091,0.8,43,12,"dairy,not_vegan,egg",Jordan Dairy Co.
92,dairy & eggs,"AL Safi Greek Yogurt Lemon Pie, 150g",Yoghurts,"/images/products/AL Safi Greek Yogurt Lemon Pie, 150g.jpg",2000000000092,0.8,10,12,"dairy,not_vegan,egg",Jordan Dairy Co.
93,dairy & eggs,"Alyoum Fresh Jameed Liquid, 1kg",Yoghurts,"/images/products/Alyoum Fresh Jameed Liquid, 1kg.jpg",2000000000093,1.75,23,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
94,dairy & eggs,"Alyoum Tang Taste Yoghurt Baladi, 1kg",Yoghurts,"/images/products/Alyoum Tang Taste Yoghurt Baladi, 1kg.jpg",2000000000094,1.75,36,12,"dairy,not_vegan,egg",Jordan Dairy Co.
95,dairy & eggs,"Al Mazraa Jameed Pasteurized Liquid, 1L",Yoghurts,"/images/products/Al Mazraa Jameed Pasteurized Liquid, 1L.jpg",2000000000095,2.75,49,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
96,dairy & eggs,"Almarai Cheddar Cheese Slices, 200g",Cheese,"/images/products/Almarai Cheddar Cheese Slices, 200g.jpg",2000000000096,1.4,16,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
97,dairy & eggs,"Almarai Full Fat Processed Cheddar Burger Cheese (10 Slices), 200g",Cheese,"/images/products/Almarai Full Fat Processed Cheddar Burger Cheese (10 Slices), 200g.jpg",2000000000097,1.4,29,12,"high_sodium,dairy,not_vegan,meat,egg",Jordan Dairy Co.
98,dairy & eggs,"Nadec Burger Cheese (10 Slices), 200g",Cheese,"/images/products/Nadec Burger Cheese (10 Slices), 200g.jpg",2000000000098,1.57,42,12,"high_sodium,dairy,not_vegan,meat,egg",Jordan Dairy Co.
99,dairy & eggs,"Kraft Original Cheddar Cheese Slices, 200g",Cheese,"/images/products/Kraft Original Cheddar Cheese Slices, 200g.jpg",2000000000099,1.75,55,12,"high_sodium,dairy,not_vegan,egg",Jordan Dairy Co.
100,kitchen staples,Tiger Rice 3.5 kg,rice,/images/products/Tiger Rice 3.5 kg.jpg,2000000000100,3.65,22,12,vegan,Pantry Partners Jordan
101,kitchen staples,Mandi Basmati Rice 4 kg,rice,/images/products/Mandi-Basmati-Rice-4kg.jpg,2000000000101,4.97,35,12,non_food,Pantry Partners Jordan
102,kitchen staples,"Sunwhite Calrose Rice, 4kg",rice,/images/products/Sunwhite-Calrose-Rice-4kg.jpg,2000000000102,4.99,48,12,vegan,Pantry Partners Jordan
103,kitchen staples,"Abu Kass Basmati Rice, 4kg",rice,/images/products/Abu-Kass-Basmati-Rice-4kg.jpg,2000000000103,5.49,15,12,non_food,Pantry Partners Jordan
104,kitchen staples,"Pasta Zara Conchiglie No.54, 500g",pasta,"/images/products/Pasta-Zara-Conchiglie-No.54,-500g.jpg",2000000000104,1.31,28,12,"gluten,vegan",Pantry Partners Jordan
105,kitchen staples,"Al-Ghazal Pasta Bucatini 1, 300g",pasta,"/images/products/Al-Ghazal-Pasta-Bucatini1,-300g.jpg",2000000000105,0.49,41,12,"gluten,vegan",Pantry Partners Jordan
106,kitchen staples,Barilla Rigatoni 500 g,pasta,/images/products/Barilla-Rigatoni-500g.jpg,2000000000106,1.68,54,12,"gluten,vegan",Pantry Partners Jordan
107,kitchen staples,"Barakah Al Sanabel Chiffari Lisci, 450g",pasta,/images/products/Barakah-Al-Sanabel-Chiffari-Lisci-450g.jpg,2000000000107,0.35,21,12,"gluten,vegan",Pantry Partners Jordan
108,kitchen staples,"Afia Pure Corn Oil, 1.5L",oil,/images/products/Afia-Pure-Corn-Oil-1.5L.jpg,2000000000108,3.99,34,12,vegan,Pantry Partners Jordan
109,kitchen staples,"Mazola Sunflower Oil, 1.5L",oil,/images/products/Mazola-Sunflower-Oil-1.5L.jpg,2000000000109,3.39,47,12,vegan,Pantry Partners Jordan
110,kitchen staples,"Golden Corn Oil, 2.9L",oil,/images/products/Golden-Corn-Oil-2.9L.jpg,2000000000110,5.69,14,12,vegan,Pantry Partners Jordan
111,kitchen staples,"Filippo Berio Basil Flavoured Olive Oil, 250ml",oil,/images/products/Filippo-Berio-Basil-Flavoured-Olive-Oil-250ml.jpg,2000000000111,12.6,27,12,vegan,Pantry Partners Jordan
112,kitchen staples,"Kasih Vegetable Oil Cooking Spray, 141g",oil,/images/products/Kasih-Vegetable-Oil-Cooking-Spray-141g.jpg,2000000000112,2.25,40,12,vegan,Pantry Partners Jordan
113,kitchen staples,"Al Osra Fine White Sugar, 2kg",suger,/images/products/Al-Osra-Fine-White-Sugar-2kg.jpg,2000000000113,1.59,53,12,vegan,Pantry Partners Jordan
114,kitchen staples,"Al Osra Brown Sugar, 2kg",suger,/images/products/Al Osra Brown Sugar-2kg.jpg,2000000000114,3.65,20,12,vegan,Pantry Partners Jordan
115,kitchen staples,"Al Ghazal All Purpose Flour, 1.25kg",Baking Ingredients,/images/products/Al-Ghazal-All-Purpose-Flour-1.25kg.jpg,2000000000115,1.1,33,12,"gluten,vegan",Pantry Partners Jordan
116,kitchen staples,"Al-Ghazal Semolina Packet (Fine), 1.25kg",Baking Ingredients,/images/products/Al-Ghazal-Semolina-Packet-(Fine)1.25kg.jpg,2000000000116,1.35,46,12,"gluten,vegan",Pantry Partners Jordan
117,kitchen staples,"Kasih Corn Starch Pouches, 350g",Baking Ingredients,/images/products/Kasih-Corn-Starch-Pouches-350g.jpg,2000000000117,1.19,13,12,vegan,Pantry Partners Jordan
118,kitchen staples,Sasi Flour All Purpose 1.250 kg,Baking Ingredients,/images/products/Sasi-Flour-All-Purpose-1.250-kg.jpg,2000000000118,1.02,26,12,"gluten,vegan",Pantry Partners Jordan
119,kitchen staples,"Elbasha Small Lentils Bag, 800g",Cooking & Baking,/images/products/Elbasha-Small-Lentils-Bag-800g.jpg,2000000000119,1.55,39,12,vegan,Pantry Partners Jordan
120,kitchen staples,"Albayrouty Freekeh Jeneen, 700g",Cooking & Baking,/images/products/Albayrouty-Freekeh-Jeneen-700g.jpg,2000000000120,3.29,52,12,vegan,Pantry Partners Jordan
121,kitchen staples,Khalifa Red Lentil Football 800 g,Cooking & Baking,/images/products/Khalifa-Red-Lentil-Football-800g.jpg,2000000000121,1.25,19,12,vegan,Pantry Partners Jordan
122,kitchen staples,Tropicana Slim Low Calorie Sweetener 100 pcs,Cooking & Baking,/images/products/Tropicana-Slim-Low-Calorie-Sweetener-100pcs.jpg,2000000000122,7.56,32,12,"high_sugar,vegan",Pantry Partners Jordan
123,kitchen staples,"Foster Clark's Bicarbonate of Soda, 150g",Cooking & Baking,/images/products/Foster-Clark's-Bicarbonate-of-Soda-150g.jpg,2000000000123,0.9,45,20,vegan,Levant Beverage Distributors
124,kitchen staples,"Kasih Sea Salt Pouch, 400g",Spices & Seasonings,"/images/products/Kasih Sea Salt Pouch, 400g.jpg",2000000000124,0.69,12,12,"high_sodium,vegan",Pantry Partners Jordan
125,kitchen staples,"Kasih Pink Himalayan Salt Pouche, 400g",Spices & Seasonings,"/images/products/Kasih Pink Himalayan Salt Pouche, 400g.jpg",2000000000125,0.99,25,12,"high_sodium,vegan",Pantry Partners Jordan
126,kitchen staples,Sasi Salt Iodized Nylon 750 g,Spices & Seasonings,/images/products/Sasi Salt Iodized Nylon 750 g.jpg,2000000000126,0.33,38,12,"high_sodium,vegan",Pantry Partners Jordan
127,kitchen staples,"Knorr Chicken Powder Stock, 30x16g",Spices & Seasonings,/images/products/Knorr Chicken Powder Stock-30x16g.jpg,2000000000127,2.59,51,12,"high_sodium,meat,not_vegan",Pantry Partners Jordan
128,kitchen staples,Blue Mill Crushed Red Chili 175 g,Spices & Seasonings,/images/products/Blue Mill Crushed Red Chili 175 g.jpg,2000000000128,2.41,18,12,"high_sodium,vegan",Pantry Partners Jordan
129,kitchen staples,Blue Mill Paprika 200 g,Spices & Seasonings,/images/products/Blue Mill Paprika 200 g.jpg,2000000000129,3.85,31,12,vegan,Pantry Partners Jordan
